alpha,coexpr_threshold,n_iters,ppi_weight,coexpr_weight,overall_pcc,mi_pcc,mu_pcc,mu_pcc_delta
0.5,0.7,20,0.3,0.7,0.21435387432575226,0.44496041536331177,0.03819402679800987,-0.0038725920021533966
0.7,0.3,5,0.7,0.30000000000000004,0.2052687257528305,0.44496041536331177,0.03132529929280281,-0.010741319507360458
0.7,0.3,10,0.7,0.30000000000000004,0.20529797673225403,0.44496041536331177,0.031205661594867706,-0.010860957205295563
0.7,0.3,20,0.7,0.30000000000000004,0.20529913902282715,0.44496041536331177,0.031203389167785645,-0.010863229632377625
0.7,0.3,5,0.5,0.5,0.20584294199943542,0.44496041536331177,0.031475186347961426,-0.010591432452201843
0.7,0.3,10,0.5,0.5,0.20573441684246063,0.44496041536331177,0.03113490529358387,-0.010931713506579399
0.7,0.3,20,0.5,0.5,0.20572981238365173,0.44496041536331177,0.031123390421271324,-0.010943228378891945
0.7,0.3,5,0.3,0.7,0.20644955337047577,0.44496041536331177,0.03159293904900551,-0.01047367975115776
0.7,0.3,10,0.3,0.7,0.20611874759197235,0.44496041536331177,0.030972113832831383,-0.011094504967331886
0.7,0.3,20,0.3,0.7,0.20609724521636963,0.44496041536331177,0.030937543138861656,-0.011129075661301613
0.7,0.5,5,0.7,0.30000000000000004,0.20507915318012238,0.44496041536331177,0.031301405280828476,-0.010765213519334793
0.7,0.5,10,0.7,0.30000000000000004,0.2051662653684616,0.44496041536331177,0.03128337487578392,-0.010783243924379349
0.7,0.5,20,0.7,0.30000000000000004,0.20516958832740784,0.44496041536331177,0.03128289058804512,-0.010783728212118149
0.7,0.5,5,0.5,0.5,0.20590956509113312,0.44496041536331177,0.030906137079000473,-0.011160481721162796
0.7,0.5,10,0.5,0.5,0.2060123234987259,0.44496041536331177,0.030820339918136597,-0.011246278882026672
0.7,0.5,20,0.5,0.5,0.206014946103096,0.44496041536331177,0.030817151069641113,-0.011249467730522156
0.7,0.5,5,0.3,0.7,0.206246480345726,0.44496041536331177,0.030398650094866753,-0.011667968705296516
0.7,0.5,10,0.3,0.7,0.20634321868419647,0.44496041536331177,0.030134370550513268,-0.011932248249650002
0.7,0.5,20,0.3,0.7,0.20634394884109497,0.44496041536331177,0.03011603094637394,-0.01195058785378933
0.7,0.7,5,0.7,0.30000000000000004,0.20345290005207062,0.44496041536331177,0.031647901982069016,-0.010418716818094254
0.7,0.7,10,0.7,0.30000000000000004,0.2035500556230545,0.44496041536331177,0.03164596110582352,-0.010420657694339752
0.7,0.7,20,0.7,0.30000000000000004,0.2035546600818634,0.44496041536331177,0.03164566680788994,-0.01042095199227333
0.7,0.7,5,0.5,0.5,0.20351122319698334,0.44496041536331177,0.03163083270192146,-0.010435786098241806
0.7,0.7,10,0.5,0.5,0.20360828936100006,0.44496041536331177,0.03162827715277672,-0.010438341647386551
0.7,0.7,20,0.5,0.5,0.2036128044128418,0.44496041536331177,0.03162798285484314,-0.01043863594532013
0.7,0.7,5,0.3,0.7,0.20363035798072815,0.44496041536331177,0.031591158360242844,-0.010475460439920425
0.7,0.7,10,0.3,0.7,0.2037273645401001,0.44496041536331177,0.031587351113557816,-0.010479267686605453
0.7,0.7,20,0.3,0.7,0.20373186469078064,0.44496041536331177,0.03158700838685036,-0.010479610413312912
0.9,0.3,5,0.7,0.30000000000000004,0.18499980866909027,0.44496041536331177,0.019919125363230705,-0.022147493436932564
0.9,0.3,10,0.7,0.30000000000000004,0.18383513391017914,0.44496041536331177,0.017964543774724007,-0.024102075025439262
0.9,0.3,20,0.7,0.30000000000000004,0.18371056020259857,0.44496041536331177,0.01775413379073143,-0.02431248500943184
0.9,0.3,5,0.5,0.5,0.1849137395620346,0.44496041536331177,0.018632980063557625,-0.023433638736605644
0.9,0.3,10,0.5,0.5,0.18187199532985687,0.44496041536331177,0.014512738212943077,-0.027553880587220192
0.9,0.3,20,0.5,0.5,0.1814134269952774,0.44496041536331177,0.013921965844929218,-0.02814465295523405
0.9,0.3,5,0.3,0.7,0.1854306012392044,0.44496041536331177,0.01820461079478264,-0.02386200800538063
0.9,0.3,10,0.3,0.7,0.17962747812271118,0.44496041536331177,0.011437848210334778,-0.03062877058982849
0.9,0.3,20,0.3,0.7,0.17816896736621857,0.44496041536331177,0.009828807786107063,-0.032237811014056206
0.9,0.5,5,0.7,0.30000000000000004,0.18550777435302734,0.44496041536331177,0.021619461476802826,-0.020447157323360443
0.9,0.5,10,0.7,0.30000000000000004,0.18512074649333954,0.44496041536331177,0.02060157246887684,-0.02146504633128643
0.9,0.5,20,0.7,0.30000000000000004,0.1850670725107193,0.44496041536331177,0.02043379470705986,-0.02163282409310341
0.9,0.5,5,0.5,0.5,0.18577881157398224,0.44496041536331177,0.0201150793582201,-0.02195153944194317
0.9,0.5,10,0.5,0.5,0.18485349416732788,0.44496041536331177,0.01826276257634163,-0.02380385622382164
0.9,0.5,20,0.5,0.5,0.1847071647644043,0.44496041536331177,0.017986007034778595,-0.024080611765384674
0.9,0.5,5,0.3,0.7,0.18494203686714172,0.44496041536331177,0.018301790580153465,-0.023764828220009804
0.9,0.5,10,0.3,0.7,0.1821783035993576,0.44496041536331177,0.014343829825520515,-0.027722788974642754
0.9,0.5,20,0.3,0.7,0.1813456416130066,0.44496041536331177,0.013327979482710361,-0.028738639317452908
0.9,0.7,5,0.7,0.30000000000000004,0.18443872034549713,0.44496041536331177,0.02301732264459133,-0.019049296155571938
0.9,0.7,10,0.7,0.30000000000000004,0.18425503373146057,0.44496041536331177,0.022236889228224754,-0.019829729571938515
0.9,0.7,20,0.7,0.30000000000000004,0.18420082330703735,0.44496041536331177,0.02204851619899273,-0.02001810260117054
0.9,0.7,5,0.5,0.5,0.18448089063167572,0.44496041536331177,0.022958537563681602,-0.019108081236481667
0.9,0.7,10,0.5,0.5,0.18429356813430786,0.44496041536331177,0.022172575816512108,-0.01989404298365116
0.9,0.7,20,0.5,0.5,0.18423929810523987,0.44496041536331177,0.021984340623021126,-0.020082278177142143
0.9,0.7,5,0.3,0.7,0.1845717430114746,0.44496041536331177,0.022825190797448158,-0.01924142800271511
0.9,0.7,10,0.3,0.7,0.18437500298023224,0.44496041536331177,0.022025737911462784,-0.020040880888700485
0.9,0.7,20,0.3,0.7,0.1843208223581314,0.44496041536331177,0.021837085485458374,-0.020229533314704895
