,EPS
KRT5,0.0960047064383257
CTLA4,0.0966160756125663
AQP1,0.09684543007865065
MYLK,0.09703514452922515
KRT14,0.09786847935700374
LARS,0.09829458261350482
HOOK2,0.09950120036154
CD8A,0.10191043828897224
ACTA2,0.10235283075924884
CD27,0.10374068751789066
MS4A1,0.10383235506153843
TENT5C,0.10404869440830443
C6orf132,0.10473264622566354
POLR2J3,0.10642735336961232
SLAMF7,0.10682863875145994
TCF7,0.1071614946324133
MRC1,0.10833169412045249
GLIPR1,0.10836997000759369
HDC,0.10861666301483443
TOP2A,0.10908996308137156
QARS,0.10934891347394715
LPXN,0.11126146681031641
CRISPLD2,0.111937352649944
DPT,0.11214639999567494
CD163,0.11391263615684723
ADGRE5,0.11490008961900328
LPL,0.1177320872169849
JUP,0.11784656132252672
PCLAF,0.11827239440323818
PECAM1,0.11945898124553823
SERPINA3,0.12281035854902926
SQLE,0.12308286363179217
CAV1,0.12467848818200283
AGR3,0.12658466291452924
ZEB1,0.1310878556740075
SFRP1,0.1338391268647109
TMEM147,0.13462645145162344
ZNF562,0.13520635273558335
MDM2,0.13756096753875513
FCER1G,0.13875496780566637
ADAM9,0.14069720710270786
LEP,0.14079820243059832
PRDM1,0.1420700249024996
SLAMF1,0.1421079209638347
CD68,0.14345696353625673
FGL2,0.14418843586753702
LTB,0.14559858791190605
LDHB,0.1510758662488151
TCF4,0.15153635288175216
SH3YL1,0.1522516691986019
CCR7,0.1532046797669098
USP53,0.15322515382437008
AIF1,0.1541460587000463
PDK4,0.15585009363187965
KLF5,0.16942061788063698
SMS,0.1700929795975895
GZMA,0.1701480822899982
SELL,0.1723129580120707
KLRB1,0.17483843544887556
PDGFRA,0.1770634180498054
NARS,0.1791338558944573
CCDC6,0.17930037879098348
CD3G,0.18205441091462
CCL5,0.18284006548373608
SLC5A6,0.18488647232647404
ADH1B,0.18703068794034827
CEACAM6,0.1875671439027504
ADIPOQ,0.19117003456974277
CD247,0.19362778658710175
CD3D,0.19398107051737742
CLDN4,0.19662442278669465
LYZ,0.19734067213424453
TFAP2A,0.19752137053731342
S100A4,0.19923527227950308
TPD52,0.2036447796826294
FLNB,0.20556734585458591
TCIM,0.2061431367052731
ENAH,0.21312340538156754
TRAF4,0.21417255183649403
CD4,0.21645870571419387
PDGFRB,0.220441085827145
CD69,0.22600629226301855
GPR183,0.2340451458500866
IGF1,0.23457632313736573
PTGDS,0.23954908454881418
DST,0.2496602745636257
FBLN1,0.25571074856096876
SFRP4,0.2576633824799201
MMP2,0.27795534045644454
SERHL2,0.2786838911206776
ZEB2,0.27903823104459013
ERBB2,0.28143821896389076
ELF3,0.2916535020496969
IL2RG,0.2991806300244649
AR,0.30225436994467897
ABCC11,0.30433540047114616
S100A14,0.3071157332017934
GATA3,0.3176615480074018
CXCR4,0.32706246438958486
CTTN,0.3306843989980107
SCD,0.3389363179110105
CCND1,0.34220183518049735
CYTIP,0.3486377209703687
LYPD3,0.3541250473097409
CXCL12,0.3551769630842784
POSTN,0.35550068784807587
TRAC,0.36174246735375587
LUM,0.3663733259793105
MYO5B,0.36888820393079824
ANKRD30A,0.3885146008099943
IL7R,0.3895827761333886
DSP,0.3937029097685209
CCDC80,0.3959730683170821
CD3E,0.41240830857931754
FASN,0.41981497989278493
CD9,0.43126146328885423
FOXA1,0.4412737667978835
CDH1,0.45198081690789416
TACSTD2,0.48488652715466396
KRT7,0.49149906490543277
EPCAM,0.498421613053453
KRT8,0.5038176680587028
PTPRC,0.5046827081153218
MLPH,0.5059692307521904
